origin_airport,dest_airport,carrier_name,date,number_seats,weighted_seats
BOS,IND,Republic Airline,3/20/20,76,46.4892
BOS,IND,Republic Airline,3/20/20,76,46.4892
BOS,IND,Republic Airline,3/20/20,76,46.4892
BOS,IND,Republic Airline,3/21/20,76,46.4892
BOS,IND,Republic Airline,3/22/20,76,46.4892
BOS,IND,Republic Airline,3/22/20,76,46.4892
BOS,IND,Republic Airline,3/22/20,76,46.4892
BOS,IND,Republic Airline,3/23/20,76,46.4892
BOS,IND,Republic Airline,3/23/20,76,46.4892
BOS,IND,Republic Airline,3/23/20,76,46.4892
BOS,IND,Republic Airline,3/24/20,76,46.4892
BOS,IND,Republic Airline,3/24/20,76,46.4892
BOS,IND,Republic Airline,3/24/20,76,46.4892
BOS,IND,Republic Airline,3/25/20,76,46.4892
BOS,IND,Republic Airline,3/25/20,76,46.4892
BOS,IND,Republic Airline,3/26/20,76,46.4892
BOS,IND,Republic Airline,3/26/20,76,46.4892
BOS,IND,Republic Airline,3/27/20,76,46.4892
BOS,IND,Republic Airline,3/28/20,76,46.4892
BOS,IND,Republic Airline,3/30/20,76,46.4892
BOS,IND,Republic Airline,3/31/20,76,46.4892
BOS,JAX,Republic Airline,3/20/20,76,61.37
BOS,JAX,JetBlue Airways,3/20/20,162,130.815
BOS,JAX,Republic Airline,3/21/20,76,61.37
BOS,JAX,JetBlue Airways,3/21/20,100,80.75
BOS,JAX,Republic Airline,3/22/20,76,61.37
BOS,JAX,JetBlue Airways,3/22/20,100,80.75
BOS,JAX,Republic Airline,3/23/20,76,61.37
BOS,JAX,JetBlue Airways,3/23/20,162,130.815
BOS,JAX,Republic Airline,3/24/20,76,61.37
BOS,JAX,JetBlue Airways,3/24/20,162,130.815
BOS,JAX,Republic Airline,3/25/20,76,61.37
BOS,JAX,JetBlue Airways,3/25/20,162,130.815
BOS,JAX,Republic Airline,3/26/20,76,61.37
BOS,JAX,JetBlue Airways,3/26/20,162,130.815
BOS,JAX,JetBlue Airways,3/27/20,76,61.37
BOS,JAX,JetBlue Airways,3/28/20,76,61.37
BOS,JAX,JetBlue Airways,3/29/20,76,61.37
BOS,JAX,JetBlue Airways,3/30/20,76,61.37
BOS,JAX,JetBlue Airways,3/31/20,76,61.37
BOS,JFK,JetBlue Airways,3/20/20,76,55.19044
BOS,JFK,JetBlue Airways,3/20/20,76,55.19044
BOS,JFK,Delta Air Lines,3/20/20,132,95.85708
BOS,JFK,Endeavor Air,3/20/20,100,72.619
BOS,JFK,American Airlines,3/20/20,162,117.64278
BOS,JFK,JetBlue Airways,3/21/20,76,55.19044
BOS,JFK,JetBlue Airways,3/21/20,76,55.19044
BOS,JFK,JetBlue Airways,3/21/20,76,55.19044
BOS,JFK,Delta Air Lines,3/21/20,132,95.85708
BOS,JFK,Endeavor Air,3/21/20,100,72.619
BOS,JFK,Endeavor Air,3/21/20,162,117.64278
BOS,JFK,American Airlines,3/21/20,162,117.64278
BOS,JFK,JetBlue Airways,3/22/20,76,55.19044
BOS,JFK,JetBlue Airways,3/22/20,76,55.19044
BOS,JFK,Delta Air Lines,3/22/20,132,95.85708
BOS,JFK,Endeavor Air,3/22/20,100,72.619
BOS,JFK,American Airlines,3/22/20,162,117.64278
BOS,JFK,JetBlue Airways,3/23/20,76,55.19044
BOS,JFK,JetBlue Airways,3/23/20,76,55.19044
BOS,JFK,Delta Air Lines,3/23/20,132,95.85708
BOS,JFK,Endeavor Air,3/23/20,100,72.619
BOS,JFK,American Airlines,3/23/20,162,117.64278
BOS,JFK,JetBlue Airways,3/24/20,76,55.19044
BOS,JFK,JetBlue Airways,3/24/20,76,55.19044
BOS,JFK,Delta Air Lines,3/24/20,132,95.85708
BOS,JFK,Endeavor Air,3/24/20,100,72.619
BOS,JFK,American Airlines,3/24/20,162,117.64278
BOS,JFK,JetBlue Airways,3/25/20,76,55.19044
BOS,JFK,JetBlue Airways,3/25/20,76,55.19044
BOS,JFK,Delta Air Lines,3/25/20,132,95.85708
BOS,JFK,Endeavor Air,3/25/20,100,72.619
BOS,JFK,American Airlines,3/25/20,162,117.64278
BOS,JFK,JetBlue Airways,3/26/20,76,55.19044
BOS,JFK,JetBlue Airways,3/26/20,76,55.19044
BOS,JFK,Delta Air Lines,3/26/20,132,95.85708
BOS,JFK,Endeavor Air,3/26/20,100,72.619
BOS,JFK,American Airlines,3/26/20,162,117.64278
BOS,JFK,JetBlue Airways,3/27/20,76,55.19044
BOS,JFK,Endeavor Air,3/27/20,157,114.01183
BOS,JFK,American Airlines,3/27/20,110,79.8809
BOS,JFK,American Airlines,3/27/20,76,55.19044
BOS,JFK,JetBlue Airways,3/28/20,76,55.19044
BOS,JFK,Endeavor Air,3/28/20,157,114.01183
BOS,JFK,Endeavor Air,3/28/20,110,79.8809
BOS,JFK,American Airlines,3/28/20,76,55.19044
BOS,JFK,JetBlue Airways,3/29/20,76,55.19044
BOS,JFK,Endeavor Air,3/29/20,157,114.01183
BOS,JFK,American Airlines,3/29/20,110,79.8809
BOS,JFK,American Airlines,3/29/20,76,55.19044
BOS,JFK,JetBlue Airways,3/30/20,76,55.19044
BOS,JFK,Endeavor Air,3/30/20,157,114.01183
BOS,JFK,American Airlines,3/30/20,110,79.8809
BOS,JFK,American Airlines,3/30/20,76,55.19044
BOS,JFK,JetBlue Airways,3/31/20,76,55.19044
BOS,JFK,Endeavor Air,3/31/20,157,114.01183
BOS,JFK,American Airlines,3/31/20,110,79.8809
BOS,JFK,American Airlines,3/31/20,76,55.19044
BOS,LAS,Republic Airline,3/20/20,159,134.65551
BOS,LAS,Republic Airline,3/21/20,159,134.65551
BOS,LAS,Republic Airline,3/22/20,159,134.65551
BOS,LAS,Republic Airline,3/23/20,159,134.65551
BOS,LAS,Republic Airline,3/24/20,159,134.65551
BOS,LAS,Republic Airline,3/25/20,159,134.65551
BOS,LAS,Republic Airline,3/26/20,159,134.65551
BOS,LAS,JetBlue Airways,3/27/20,180,152.4402
BOS,LAS,JetBlue Airways,3/28/20,180,152.4402
BOS,LAX,Delta Air Lines,3/20/20,168,142.24392
BOS,LAX,American Airlines,3/20/20,159,134.62371
BOS,LAX,Alaska Airlines,3/20/20,159,134.62371
BOS,LAX,Delta Air Lines,3/21/20,168,142.24392
BOS,LAX,Alaska Airlines,3/21/20,159,134.62371
BOS,LAX,Delta Air Lines,3/22/20,168,142.24392
BOS,LAX,American Airlines,3/22/20,159,134.62371
BOS,LAX,Alaska Airlines,3/22/20,159,134.62371
BOS,LAX,Delta Air Lines,3/23/20,168,142.24392
BOS,LAX,American Airlines,3/23/20,159,134.62371
BOS,LAX,Alaska Airlines,3/23/20,159,134.62371
BOS,LAX,Delta Air Lines,3/24/20,168,142.24392
BOS,LAX,American Airlines,3/24/20,159,134.62371
BOS,LAX,Alaska Airlines,3/24/20,159,134.62371
BOS,LAX,Delta Air Lines,3/25/20,168,142.24392
BOS,LAX,American Airlines,3/25/20,159,134.62371
BOS,LAX,Alaska Airlines,3/25/20,159,134.62371
BOS,LAX,Delta Air Lines,3/26/20,168,142.24392
BOS,LAX,American Airlines,3/26/20,159,134.62371
BOS,LAX,Alaska Airlines,3/26/20,159,134.62371
