State,code,date,claims
Delaware,DE,4/4/20,18851
District of Columbia,DC,4/4/20,15329
Florida,FL,4/4/20,169885
Georgia,GA,4/4/20,390132
Hawaii,HI,4/4/20,53101
Idaho,ID,4/4/20,30904
Illinois,IL,4/4/20,201041
Indiana,IN,4/4/20,127010
Iowa,IA,4/4/20,64194
Kansas,KS,4/4/20,49306
Kentucky,KY,4/4/20,117575
Louisiana,LA,4/4/20,100621
Maine,ME,4/4/20,30910
Maryland,MD,4/4/20,109496
Massachusetts,MA,4/4/20,139647
Michigan,MI,4/4/20,388554
Minnesota,MN,4/4/20,110260
Mississippi,MS,4/4/20,45852
Missouri,MO,4/4/20,91458
Montana,MT,4/4/20,21244
Nebraska,NE,4/4/20,27054
Nevada,NV,4/4/20,79285
New Hampshire,NH,4/4/20,39202
New Jersey,NJ,4/4/20,214836
New Mexico,NM,4/4/20,26132
New York,NY,4/4/20,344451
North Carolina,NC,4/4/20,137422
North Dakota,ND,4/4/20,15125
Ohio,OH,4/4/20,226191
Oklahoma,OK,4/4/20,60534
Oregon,OR,4/4/20,62788
Pennsylvania,PA,4/4/20,277640
Rhode Island,RI,4/4/20,28243
South Carolina,SC,4/4/20,86573
South Dakota,SD,4/4/20,8138
Tennessee,TN,4/4/20,112186
Texas,TX,4/4/20,315167
Utah,UT,4/4/20,33040
Vermont,VT,4/4/20,16474
Virginia,VA,4/4/20,147369
Washington,WA,4/4/20,171252
West Virginia,WV,4/4/20,14494
Wisconsin,WI,4/4/20,104823
Wyoming,WY,4/4/20,6543
Alabama,AL,4/11/20,77515
Alaska,AK,4/11/20,12007
Arizona,AZ,4/11/20,98531
Arkansas,AR,4/11/20,35629
California,CA,4/11/20,655472
Colorado,CO,4/11/20,104572
Connecticut,CT,4/11/20,34050
Delaware,DE,4/11/20,13258
District of Columbia,DC,4/11/20,9974
Florida,FL,4/11/20,180419
Georgia,GA,4/11/20,319581
Hawaii,HI,4/11/20,34717
Idaho,ID,4/11/20,18531
Illinois,IL,4/11/20,141160
Indiana,IN,4/11/20,113755
Iowa,IA,4/11/20,43889
Kansas,KS,4/11/20,29873
Kentucky,KY,4/11/20,116277
Louisiana,LA,4/11/20,79653
Maine,ME,4/11/20,13488
Maryland,MD,4/11/20,62904
Massachusetts,MA,4/11/20,103813
Michigan,MI,4/11/20,222207
Minnesota,MN,4/11/20,93133
Mississippi,MS,4/11/20,45748
Missouri,MO,4/11/20,102126
Montana,MT,4/11/20,14275
Nebraska,NE,4/11/20,16279
Nevada,NV,4/11/20,58641
New Hampshire,NH,4/11/20,25273
New Jersey,NJ,4/11/20,141420
New Mexico,NM,4/11/20,19043
New York,NY,4/11/20,394701
North Carolina,NC,4/11/20,140155
North Dakota,ND,4/11/20,9502
Ohio,OH,4/11/20,159317
Oklahoma,OK,4/11/20,54481
Oregon,OR,4/11/20,54581
Pennsylvania,PA,4/11/20,234868
Rhode Island,RI,4/11/20,22509
South Carolina,SC,4/11/20,89147
South Dakota,SD,4/11/20,6359
Tennessee,TN,4/11/20,71887
Texas,TX,4/11/20,274257
Utah,UT,4/11/20,24515
Vermont,VT,4/11/20,9662
Virginia,VA,4/11/20,104619
Washington,WA,4/11/20,144455
West Virginia,WV,4/11/20,14944
Wisconsin,WI,4/11/20,70000
Wyoming,WY,4/11/20,5794
Alabama,AL,4/18/20,66432
Alaska,AK,4/18/20,12201
Arizona,AZ,4/18/20,72457
Arkansas,AR,4/18/20,25404
California,CA,4/18/20,528360
Colorado,CO,4/18/20,67639
Connecticut,CT,4/18/20,102808
Delaware,DE,4/18/20,9446
District of Columbia,DC,4/18/20,8639
Florida,FL,4/18/20,506670
Georgia,GA,4/18/20,247003
Hawaii,HI,4/18/20,26591
Idaho,ID,4/18/20,13023
Illinois,IL,4/18/20,102936
Indiana,IN,4/18/20,72756
Iowa,IA,4/18/20,26901
Kansas,KS,4/18/20,30596
Kentucky,KY,4/18/20,103981
Louisiana,LA,4/18/20,91923
Maine,ME,4/18/20,11769
Maryland,MD,4/18/20,48495
Massachusetts,MA,4/18/20,80969
Michigan,MI,4/18/20,136707
Minnesota,MN,4/18/20,74829
Mississippi,MS,4/18/20,36913
Missouri,MO,4/18/20,59602
Montana,MT,4/18/20,11176
Nebraska,NE,4/18/20,12222
Nevada,NV,4/18/20,39496
New Hampshire,NH,4/18/20,20414
New Jersey,NJ,4/18/20,140139
New Mexico,NM,4/18/20,13621
New York,NY,4/18/20,205184
North Carolina,NC,4/18/20,106266
North Dakota,ND,4/18/20,8065
Ohio,OH,4/18/20,109830
Oklahoma,OK,4/18/20,46696
Oregon,OR,4/18/20,37209
Pennsylvania,PA,4/18/20,194594
Rhode Island,RI,4/18/20,18078
South Carolina,SC,4/18/20,74362
South Dakota,SD,4/18/20,5295
Tennessee,TN,4/18/20,67226
Texas,TX,4/18/20,280761
Utah,UT,4/18/20,19649
Vermont,VT,4/18/20,6598
Virginia,VA,4/18/20,82729
Washington,WA,4/18/20,83475
West Virginia,WV,4/18/20,46755
Wisconsin,WI,4/18/20,55883
Wyoming,WY,4/18/20,4381
